tf.Tensor(0, shape=(), dtype=int64) tf.Tensor(263.808, shape=(), dtype=float32) 0.127
tf.Tensor(1, shape=(), dtype=int64) tf.Tensor(189.4695, shape=(), dtype=float32) 0.235
tf.Tensor(2, shape=(), dtype=int64) tf.Tensor(134.07678, shape=(), dtype=float32) 0.356
tf.Tensor(3, shape=(), dtype=int64) tf.Tensor(101.65212, shape=(), dtype=float32) 0.445
tf.Tensor(4, shape=(), dtype=int64) tf.Tensor(90.88403, shape=(), dtype=float32) 0.489
tf.Tensor(5, shape=(), dtype=int64) tf.Tensor(74.631744, shape=(), dtype=float32) 0.549
tf.Tensor(6, shape=(), dtype=int64) tf.Tensor(63.17304, shape=(), dtype=float32) 0.596
tf.Tensor(7, shape=(), dtype=int64) tf.Tensor(61.650433, shape=(), dtype=float32) 0.593
tf.Tensor(8, shape=(), dtype=int64) tf.Tensor(59.265797, shape=(), dtype=float32) 0.613
tf.Tensor(9, shape=(), dtype=int64) tf.Tensor(53.44871, shape=(), dtype=float32) 0.63
tf.Tensor(10, shape=(), dtype=int64) tf.Tensor(49.263016, shape=(), dtype=float32) 0.656
tf.Tensor(11, shape=(), dtype=int64) tf.Tensor(47.698765, shape=(), dtype=float32) 0.66
tf.Tensor(12, shape=(), dtype=int64) tf.Tensor(45.326374, shape=(), dtype=float32) 0.668
tf.Tensor(13, shape=(), dtype=int64) tf.Tensor(45.811455, shape=(), dtype=float32) 0.653
tf.Tensor(14, shape=(), dtype=int64) tf.Tensor(48.679615, shape=(), dtype=float32) 0.651
tf.Tensor(15, shape=(), dtype=int64) tf.Tensor(40.61497, shape=(), dtype=float32) 0.675
tf.Tensor(16, shape=(), dtype=int64) tf.Tensor(40.228916, shape=(), dtype=float32) 0.689
tf.Tensor(17, shape=(), dtype=int64) tf.Tensor(36.94404, shape=(), dtype=float32) 0.696
tf.Tensor(18, shape=(), dtype=int64) tf.Tensor(38.600372, shape=(), dtype=float32) 0.686
tf.Tensor(19, shape=(), dtype=int64) tf.Tensor(39.348984, shape=(), dtype=float32) 0.691
tf.Tensor(20, shape=(), dtype=int64) tf.Tensor(39.88968, shape=(), dtype=float32) 0.697
tf.Tensor(21, shape=(), dtype=int64) tf.Tensor(32.880035, shape=(), dtype=float32) 0.7
tf.Tensor(22, shape=(), dtype=int64) tf.Tensor(35.938965, shape=(), dtype=float32) 0.718
tf.Tensor(23, shape=(), dtype=int64) tf.Tensor(32.867233, shape=(), dtype=float32) 0.73
tf.Tensor(24, shape=(), dtype=int64) tf.Tensor(34.45399, shape=(), dtype=float32) 0.694
tf.Tensor(25, shape=(), dtype=int64) tf.Tensor(32.269054, shape=(), dtype=float32) 0.713
tf.Tensor(26, shape=(), dtype=int64) tf.Tensor(32.039467, shape=(), dtype=float32) 0.728
tf.Tensor(27, shape=(), dtype=int64) tf.Tensor(34.949142, shape=(), dtype=float32) 0.724
tf.Tensor(28, shape=(), dtype=int64) tf.Tensor(34.697285, shape=(), dtype=float32) 0.708
tf.Tensor(29, shape=(), dtype=int64) tf.Tensor(31.423424, shape=(), dtype=float32) 0.693
tf.Tensor(30, shape=(), dtype=int64) tf.Tensor(33.327614, shape=(), dtype=float32) 0.73
tf.Tensor(31, shape=(), dtype=int64) tf.Tensor(27.036785, shape=(), dtype=float32) 0.727
tf.Tensor(32, shape=(), dtype=int64) tf.Tensor(25.932117, shape=(), dtype=float32) 0.744
tf.Tensor(33, shape=(), dtype=int64) tf.Tensor(26.22982, shape=(), dtype=float32) 0.756
tf.Tensor(34, shape=(), dtype=int64) tf.Tensor(26.66484, shape=(), dtype=float32) 0.751
tf.Tensor(35, shape=(), dtype=int64) tf.Tensor(26.581738, shape=(), dtype=float32) 0.734
tf.Tensor(36, shape=(), dtype=int64) tf.Tensor(19.573391, shape=(), dtype=float32) 0.784
tf.Tensor(37, shape=(), dtype=int64) tf.Tensor(28.28584, shape=(), dtype=float32) 0.74
tf.Tensor(38, shape=(), dtype=int64) tf.Tensor(27.14161, shape=(), dtype=float32) 0.755
tf.Tensor(39, shape=(), dtype=int64) tf.Tensor(29.102007, shape=(), dtype=float32) 0.722
tf.Tensor(40, shape=(), dtype=int64) tf.Tensor(26.13345, shape=(), dtype=float32) 0.742
tf.Tensor(41, shape=(), dtype=int64) tf.Tensor(25.287685, shape=(), dtype=float32) 0.744
tf.Tensor(42, shape=(), dtype=int64) tf.Tensor(22.218948, shape=(), dtype=float32) 0.765
tf.Tensor(43, shape=(), dtype=int64) tf.Tensor(23.136627, shape=(), dtype=float32) 0.756
tf.Tensor(44, shape=(), dtype=int64) tf.Tensor(22.443203, shape=(), dtype=float32) 0.747
tf.Tensor(45, shape=(), dtype=int64) tf.Tensor(23.590384, shape=(), dtype=float32) 0.758
tf.Tensor(46, shape=(), dtype=int64) tf.Tensor(23.544537, shape=(), dtype=float32) 0.752
tf.Tensor(47, shape=(), dtype=int64) tf.Tensor(25.572441, shape=(), dtype=float32) 0.737
tf.Tensor(48, shape=(), dtype=int64) tf.Tensor(25.400871, shape=(), dtype=float32) 0.724
tf.Tensor(49, shape=(), dtype=int64) tf.Tensor(24.162947, shape=(), dtype=float32) 0.743
tf.Tensor(50, shape=(), dtype=int64) tf.Tensor(20.592602, shape=(), dtype=float32) 0.757
tf.Tensor(51, shape=(), dtype=int64) tf.Tensor(22.729895, shape=(), dtype=float32) 0.744
tf.Tensor(52, shape=(), dtype=int64) tf.Tensor(22.366692, shape=(), dtype=float32) 0.759
tf.Tensor(53, shape=(), dtype=int64) tf.Tensor(19.82754, shape=(), dtype=float32) 0.759
tf.Tensor(54, shape=(), dtype=int64) tf.Tensor(22.514435, shape=(), dtype=float32) 0.76
tf.Tensor(55, shape=(), dtype=int64) tf.Tensor(22.983498, shape=(), dtype=float32) 0.791
tf.Tensor(56, shape=(), dtype=int64) tf.Tensor(22.194384, shape=(), dtype=float32) 0.757
tf.Tensor(57, shape=(), dtype=int64) tf.Tensor(22.433594, shape=(), dtype=float32) 0.741
tf.Tensor(58, shape=(), dtype=int64) tf.Tensor(18.789093, shape=(), dtype=float32) 0.79
tf.Tensor(59, shape=(), dtype=int64) tf.Tensor(20.328583, shape=(), dtype=float32) 0.768
Epoch 000: Loss: 43.202, Accuracy: 68.333%
tf.Tensor(0, shape=(), dtype=int64) tf.Tensor(20.979004, shape=(), dtype=float32) 0.756
tf.Tensor(1, shape=(), dtype=int64) tf.Tensor(18.881609, shape=(), dtype=float32) 0.757
tf.Tensor(2, shape=(), dtype=int64) tf.Tensor(17.298973, shape=(), dtype=float32) 0.774
tf.Tensor(3, shape=(), dtype=int64) tf.Tensor(21.172836, shape=(), dtype=float32) 0.753
tf.Tensor(4, shape=(), dtype=int64) tf.Tensor(17.663626, shape=(), dtype=float32) 0.769
